ts,image_path,vehicle_type,vehicle_id,tire_model_code,tire_position,tire_type,tread_design,operator,session_notes,brightness,glare_ratio,sharpness,edge_density,continuity,score,verdict,tread_verdict,quality_verdict,device_depth_mm,raw_score_verdict,psi_measured,psi_recommended,psi_status,mm_per_px,notes
20260327_080503,/home/charess/tireguard/data/captures/tire_20260327_080503.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,164.6508458074723,0.11555312157721796,323.68656582437,0.2666119021540708,876.3,0.23602131587729921,GOOD,GOOD,WARNING,3.937721595060271,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.116) | quality_verdict=WARNING | depth_mm=3.938; raw_score_verdict=GOOD
20260327_080502,/home/charess/tireguard/data/captures/tire_20260327_080502.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,154.347815504442,0.0749361080686382,449.3381397148294,0.3207070707070707,3513.6666666666665,0.28502590801038735,GOOD,GOOD,WARNING,4.058381310640416,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.075) | quality_verdict=WARNING | depth_mm=4.058; raw_score_verdict=GOOD
20260327_080450,/home/charess/tireguard/data/captures/tire_20260327_080450.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,146.35259218692954,0.022635998539612998,432.6728194183351,0.3132530120481928,1029.1,0.19801934440008456,GOOD,GOOD,OK,3.844152668754904,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.844; raw_score_verdict=GOOD
20260327_080259,/home/charess/tireguard/data/captures/tire_20260327_080259.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,127.1217534796958,0.009040034438226431,168.43172569516958,0.3448844884488449,801.1666666666666,0.2246460186662132,GOOD,GOOD,OK,3.9097131969411385,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.910; raw_score_verdict=GOOD
20260327_080258,/home/charess/tireguard/data/captures/tire_20260327_080258.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,124.86497345386712,0.016429903859951214,162.00823471330645,0.3278088678433061,761.5,0.22792408882246412,GOOD,GOOD,OK,3.917784502006403,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.918; raw_score_verdict=GOOD
20260327_080136,/home/charess/tireguard/data/captures/tire_20260327_080136.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,159.85177213373512,0.008609556607834697,92.41292149204064,0.2048357009614005,951.6666666666666,0.1630072592607005,GOOD,GOOD,OK,3.7579454777367087,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.758; raw_score_verdict=GOOD
20260327_080135,/home/charess/tireguard/data/captures/tire_20260327_080135.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,162.21638685607692,0.014062275792796671,88.59415116070367,0.21179509255273354,328.0,0.13883300321370592,GOOD,GOOD,OK,3.69842332415832,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.698; raw_score_verdict=GOOD
20260327_080133,/home/charess/tireguard/data/captures/tire_20260327_080133.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,159.43750896828814,0.017649591046061126,98.7162184802957,0.1685320705983642,261.0,0.12220468729891554,GOOD,GOOD,OK,3.6574808781237436,GOOD,25.0,32.0,GOOD,,quality_verdict=OK | depth_mm=3.657; raw_score_verdict=GOOD
20260327_075935,/home/charess/tireguard/data/captures/tire_20260327_075935.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,196.8079351413402,0.1611422011766394,307.8408870435603,0.31919931123547135,635.5714285714286,0.2039983093268257,GOOD,GOOD,WARNING,3.8588741504798207,GOOD,25.0,32.0,GOOD,,Too much glare (glare_ratio=0.161) | quality_verdict=WARNING | depth_mm=3.859; raw_score_verdict=GOOD
20260327_075602,/home/charess/tireguard/data/captures/tire_20260327_075602.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,102.23575835844454,0.00021523891519586742,138.28004246034666,0.2853350552446549,994.25,0.1687819626122462,WARNING,WARNING,OK,3.7721640240734455,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.772; raw_score_verdict=GOOD
20260327_075515,/home/charess/tireguard/data/captures/tire_20260327_075515.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,71.76773455377574,0.0,157.2763602993156,0.35583524027459956,373.2,0.1751314070475023,WARNING,WARNING,OK,3.7877977050470424,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.788; raw_score_verdict=GOOD
